cell_id,population,gene_0,gene_1,gene_2,gene_3
140,pop_0,3.700592658069476,2.975304671622397,3.784614262363136,2.318138177328411
141,pop_0,3.3703054632519884,2.4711898209092364,3.5363306060356274,2.533081579429538
142,pop_0,3.2538741388685737,2.5582838484194452,3.3874902689780955,2.7421466769249374
143,pop_0,3.5583595173789777,2.734285331774781,2.600436005804918,2.7608660129515075
144,pop_0,3.2500141700564735,2.758637704571637,2.958631541852347,2.8472482874769507
40140,pop_1,3.35651722574425,3.0322217945805696,3.0161242391832164,3.4149487497232824
40141,pop_1,3.4746177771580324,3.000713496038866,2.630671950826235,3.3795395597367617
40142,pop_1,2.953711507092456,3.5401192871753366,2.948091464842118,2.8896543323511237
40143,pop_1,3.3003324263731173,3.0691900212471515,2.814202941885952,2.9671059578843924
40144,pop_1,2.9328511246975606,3.135493813124958,2.625182993134315,3.603013179491149
50140,pop_2,2.5521282007489146,2.9706189276513078,3.0814344170865833,3.050973942918069
50141,pop_2,3.0595044461502314,2.9417268069472566,3.2832387848591496,2.4889097981020374
50142,pop_2,2.9742945228730244,2.814022197015959,3.3993444829320403,2.4714829776896305
50143,pop_2,2.810587172221871,3.1758993523787753,3.1276530138808787,2.8648179566267307
50144,pop_2,3.0049741191591757,3.160749957458596,3.42728325064992,2.715809141625358
60140,pop_3,2.7170712131349717,2.978937550387868,4.788695661740151,3.321150461215954
60141,pop_3,3.2503639413728243,2.6327808318923958,4.730703846054092,3.0537272427224287
60142,pop_3,2.967554491499001,2.9731768813448896,4.8596052063047965,3.1768825465339883
60143,pop_3,2.9180918584159667,3.0644149202131596,5.20757596399111,3.4420623364327714
60144,pop_3,3.3198086233254402,3.6219528892379986,4.938230241972341,2.8061934603591823
70140,pop_4,2.9782430016465766,3.0994472773512043,3.1243814706306754,2.6483522338729415
70141,pop_4,3.0738252835154696,2.2941968462575657,3.405882185802907,3.371455786964099
70142,pop_4,3.2491871319553725,2.7731892578170614,3.1450148424673663,2.8247631892285248
70143,pop_4,2.9011053378410376,2.9912980740788138,3.0881310334392835,2.7417830239961467
70144,pop_4,3.1839773990172064,2.539446218914456,3.6026352184996857,2.8588744754018687
